	S1	S2	Distance
0	P11E0	P11E7	0.00023442642166100137
1	P11E0	P11E90	0.00016419503384656721
2	P11E0	P14E0	0.006080047745160208
3	P11E0	P14E7	0.006487111660769293
4	P11E0	P14E90	0.006566443014495408
5	P11E0	P15E0	0.006070251222007502
6	P11E0	P15E7	0.0060699062233589085
7	P11E0	P15E90	0.006087579291999182
8	P11E0	P17E90	0.006382990903522381
9	P11E0	P21E0	0.005901771105433878
10	P11E0	P21E7	0.005495068790879826
11	P11E0	P21E90	0.005914587408907346
12	P11E0	P2E0	0.006064360656110397
13	P11E0	P2E7	0.006064946654616351
14	P11E0	P2E90	0.006058911792057234
15	P11E0	P38C0	0.005974612161831835
16	P11E0	P38C7	0.005966872198584787
17	P11E0	P38C90	0.005974340463508774
18	P11E0	P3E0	0.016433538163001294
19	P11E0	P3E7	0.0161617091813242
20	P11E7	P11E90	0.00032705695463252813
21	P11E7	P14E0	0.006043956043956044
22	P11E7	P14E7	0.006664003486345148
23	P11E7	P14E90	0.006708002465644149
24	P11E7	P15E0	0.006212300174016536
25	P11E7	P15E7	0.0062212604814714636
26	P11E7	P15E90	0.006230220627349857
27	P11E7	P17E90	0.006655423172478828
28	P11E7	P21E0	0.006152333973443031
29	P11E7	P21E7	0.0055827696135603766
30	P11E7	P21E90	0.006190407134829424
31	P11E7	P2E0	0.006176290258592707
32	P11E7	P2E7	0.006176345947505568
33	P11E7	P2E90	0.006201845162108084
34	P11E7	P38C0	0.0062945828711594475
35	P11E7	P38C7	0.006295377677564825
36	P11E7	P38C90	0.006294526106952836
37	P11E7	P3E0	0.017357699613545555
38	P11E7	P3E7	0.0166294184720638
39	P11E90	P14E0	0.006116868163500288
40	P11E90	P14E7	0.006323593545573485
41	P11E90	P14E90	0.006464497818888948
42	P11E90	P15E0	0.005805276981852913
43	P11E90	P15E7	0.005804757214910318
44	P11E90	P15E90	0.005820200573065902
45	P11E90	P17E90	0.006155760997518201
46	P11E90	P21E0	0.005635961945984941
47	P11E90	P21E7	0.005295585314934569
48	P11E90	P21E90	0.005633296377311
49	P11E90	P2E0	0.005775085059392348
50	P11E90	P2E7	0.005768312339561817
51	P11E90	P2E90	0.00578537170263789
52	P11E90	P38C0	0.005881079790132026
53	P11E90	P38C7	0.005870096117222683
54	P11E90	P38C90	0.005880684786340094
55	P11E90	P3E0	0.01614657610403423
56	P11E90	P3E7	0.0163825432161479
57	P14E0	P14E7	0.0005616084465910367
58	P14E0	P14E90	0.0005058548009367681
59	P14E0	P15E0	0.005098616755527385
60	P14E0	P15E7	0.005117163469604608
61	P14E0	P15E90	0.005126436567338075
62	P14E0	P17E90	0.004571577847439916
63	P14E0	P21E0	0.003957931770121825
64	P14E0	P21E7	0.0038552418853376445
65	P14E0	P21E90	0.003990675990675991
66	P14E0	P2E0	0.00511735426259764
67	P14E0	P2E7	0.005117497366679406
68	P14E0	P2E90	0.0051067087402207
69	P14E0	P38C0	0.005574562098570936
70	P14E0	P38C7	0.005557057743051347
71	P14E0	P38C90	0.005556125255199545
72	P14E0	P3E0	0.016012155212716223
73	P14E0	P3E7	0.0153653271494961
74	P14E7	P14E90	6.264522301699394e-05
75	P14E7	P15E0	0.004925523372202178
76	P14E7	P15E7	0.004936582166102136
77	P14E7	P15E90	0.004937000927454928
78	P14E7	P17E90	0.004578926685916383
79	P14E7	P21E0	0.003604066712360064
80	P14E7	P21E7	0.0036250961966867836
81	P14E7	P21E90	0.003596753815859863
82	P14E7	P2E0	0.004936665912689437
83	P14E7	P2E7	0.00492580192734018
84	P14E7	P2E90	0.0049382716049382715
85	P14E7	P38C0	0.0054965250877917204
86	P14E7	P38C7	0.005466490863716874
87	P14E7	P38C90	0.005490746028963544
88	P14E7	P3E0	0.016137655188800667
89	P14E7	P3E7	0.0163183509876896
90	P14E90	P15E0	0.005039849313596281
91	P14E90	P15E7	0.005045163260804398
92	P14E90	P15E90	0.005056818503204348
93	P14E90	P17E90	0.004681839928918051
94	P14E90	P21E0	0.0036494474428167565
95	P14E90	P21E7	0.003733797444018335
96	P14E90	P21E90	0.0036652969231995083
97	P14E90	P2E0	0.005039621264826159
98	P14E90	P2E7	0.005034420730500104
99	P14E90	P2E90	0.0050351095292428035
100	P14E90	P38C0	0.005520361990950226
101	P14E90	P38C7	0.005506882187811283
102	P14E90	P38C90	0.0055089251374403295
103	P14E90	P3E0	0.016132548506649226
104	P14E90	P3E7	0.0164076141405467
105	P15E0	P15E7	5.613152739499194e-06
106	P15E0	P15E90	5.613719931512616e-06
107	P15E0	P17E90	0.004528980385726644
108	P15E0	P21E0	0.004434413772767483
109	P15E0	P21E7	0.0043438914027149325
110	P15E0	P21E90	0.004469078047843429
111	P15E0	P2E0	4.490698640440987e-05
112	P15E0	P2E7	4.4910767917992936e-05
113	P15E0	P2E90	5.6345329253931496e-05
114	P15E0	P38C0	0.0036437542459000745
115	P15E0	P38C7	0.0036240434210969897
116	P15E0	P38C90	0.0036325050248717113
117	P15E0	P3E0	0.0167875157629256
118	P15E0	P3E7	0.0168142699605506
119	P15E7	P15E90	0.0
120	P15E7	P17E90	0.004545685838831691
121	P15E7	P21E0	0.004428517155542451
122	P15E7	P21E7	0.004333705368364956
123	P15E7	P21E90	0.004463125543766878
124	P15E7	P2E0	3.929074590674622e-05
125	P15E7	P2E7	3.929493656674526e-05
126	P15E7	P2E90	5.634437683119225e-05
127	P15E7	P38C0	0.0036435496819613414
128	P15E7	P38C7	0.0036238805299293204
129	P15E7	P38C90	0.0036322399187096845
130	P15E7	P3E0	0.0167875157629256
131	P15E7	P3E7	0.0168415428512965
132	P15E90	P17E90	0.004551391142597064
133	P15E90	P21E0	0.004434514358299687
134	P15E90	P21E7	0.00434371669314457
135	P15E90	P21E90	0.0044690527981016415
136	P15E90	P2E0	4.4908246838178746e-05
137	P15E90	P2E7	4.490925523613848e-05
138	P15E90	P2E90	6.761706203865442e-05
139	P15E90	P38C0	0.003649389148401006
140	P15E90	P38C7	0.0036294989493555673
141	P15E90	P38C90	0.0036382623928312755
142	P15E90	P3E0	0.0167875157629256
143	P15E90	P3E7	0.0168539645185677
144	P17E90	P21E0	0.0033153938733337875
145	P17E90	P21E7	0.003642327467375009
146	P17E90	P21E90	0.0033092727519572793
147	P17E90	P2E0	0.004528698719978289
148	P17E90	P2E7	0.0045288011398330955
149	P17E90	P2E90	0.004511662221213325
150	P17E90	P38C0	0.004924966356429597
151	P17E90	P38C7	0.0048888964334821506
152	P17E90	P38C90	0.004913796515671562
153	P17E90	P3E0	0.01629191321499014
154	P17E90	P3E7	0.0161896965290618
155	P21E0	P21E7	0.00019158633485257936
156	P21E0	P21E90	1.7020310904345854e-05
157	P21E0	P2E0	0.004417151475975005
158	P21E0	P2E7	0.004411881457622121
159	P21E0	P2E90	0.004433567627557554
160	P21E0	P38C0	0.004899264543274002
161	P21E0	P38C7	0.004874533259184438
162	P21E0	P38C90	0.004887840504434212
163	P21E0	P3E0	0.016667325714737634
164	P21E0	P3E7	0.0167655803381814
165	P21E7	P21E90	0.00017100379226056954
166	P21E7	P2E0	0.004253479205212775
167	P21E7	P2E7	0.0042635347116080765
168	P21E7	P2E90	0.004278580920549269
169	P21E7	P38C0	0.004655371776180182
170	P21E7	P38C7	0.0046491033872038965
171	P21E7	P38C90	0.004655371776180182
172	P21E7	P3E0	0.014998707008016551
173	P21E7	P3E7	0.0162057761369694
174	P21E90	P2E0	0.004451801341189897
175	P21E90	P2E7	0.0044465537795707125
176	P21E90	P2E90	0.0044687414935123855
177	P21E90	P38C0	0.004904453560249065
178	P21E90	P38C7	0.004879676120685756
179	P21E90	P38C90	0.0048930147411956814
180	P21E90	P3E0	0.016636114560542446
181	P21E90	P3E7	0.0167646655074585
182	P2E0	P2E7	0.0
183	P2E0	P2E90	1.1268875366238449e-05
184	P2E0	P38C0	0.0036267481094312292
185	P2E0	P38C7	0.003607086070017923
186	P2E0	P38C90	0.0036154791913453064
187	P2E0	P3E0	0.016749428548908332
188	P2E0	P3E7	0.0168305576081396
189	P2E7	P2E90	1.6904170258802848e-05
190	P2E7	P38C0	0.0036270331879151296
191	P2E7	P38C7	0.0036071468704348803
192	P2E7	P38C90	0.0036158648879306473
193	P2E7	P3E0	0.016768803326173913
194	P2E7	P3E7	0.016826308160191
195	P2E90	P38C0	0.003634867679545557
196	P2E90	P38C7	0.003620613812472507
197	P2E90	P38C90	0.0036236784563017065
198	P2E90	P3E0	0.016748632260867848
199	P2E90	P3E7	0.01678581820879
200	P38C0	P38C7	0.0
201	P38C0	P38C90	0.0
202	P38C0	P3E0	0.01662955884381219
203	P38C0	P3E7	0.016731477691363
204	P38C7	P38C90	0.0
205	P38C7	P3E0	0.016631197288563097
206	P38C7	P3E7	0.0167151204137248
207	P38C90	P3E0	0.01662955884381219
208	P38C90	P3E7	0.0167309069822969
209	P3E0	P3E7	0.0002167359564951
