	S1	S2	Distance
0	P12E0	P13E0	0.009701582831938227
1	P12E0	P13E7	0.011796064197810922
2	P12E0	P13E90	0.01669319749548976
3	P12E0	P14E0	0.007489694180807209
4	P12E0	P14E7	0.008818734252260263
5	P12E0	P14E90	0.007529530667677342
6	P12E0	P15E0	0.015648163399769394
7	P12E0	P15E90	0.01679127987566682
8	P12E0	P19E0	0.008052258023993468
9	P12E0	P19E7	0.008715777033681309
10	P12E0	P19E90	0.006926558475657023
11	P12E0	P1E0	0.01040265111875218
12	P12E0	P1E7	0.009981222195616831
13	P12E0	P1E90	0.009572937850305045
14	P12E0	P25C0	0.015531524432601685
15	P12E0	P25C7	0.015382711976245463
16	P12E0	P25C90	0.01101374373508664
17	P12E0	P2E0	0.018796829188837006
18	P12E0	P2E7	0.018801231730060285
19	P12E0	P38C0	0.019834440692734996
20	P12E0	P38C7	0.019974338900487127
21	P12E0	P38C90	0.018782966679531714
22	P12E0	P3E0	0.01475844294779839
23	P12E0	P6C0	0.016499359248184537
24	P12E0	P6C7	0.011680076196205228
25	P12E0	P6C90	0.012750010616162046
26	P12E0	P7C0	0.016792546446882408
27	P12E0	P7C7	0.016749101946782842
28	P12E0	P7C90	0.0095139767756832
29	P13E0	P13E7	0.00010237044451521908
30	P13E0	P13E90	0.00034502091689308666
31	P13E0	P14E0	0.0026300659351413506
32	P13E0	P14E7	0.0028591851322373124
33	P13E0	P14E90	0.002381012371185971
34	P13E0	P15E0	0.005936122454498743
35	P13E0	P15E90	0.006649931739111287
36	P13E0	P19E0	0.002312210200927357
37	P13E0	P19E7	0.0025606618325967325
38	P13E0	P19E90	0.0015980528340852377
39	P13E0	P1E0	0.00419819633046543
40	P13E0	P1E7	0.004391737798918356
41	P13E0	P1E90	0.003984893866388853
42	P13E0	P25C0	0.006494341563786008
43	P13E0	P25C7	0.006338646238528134
44	P13E0	P25C90	0.003989691499800515
45	P13E0	P2E0	0.010792465637196673
46	P13E0	P2E7	0.01076459093424902
47	P13E0	P38C0	0.01301804492634379
48	P13E0	P38C7	0.013250694592861722
49	P13E0	P38C90	0.011868745636490576
50	P13E0	P3E0	0.008504998777647679
51	P13E0	P6C0	0.009905866287594722
52	P13E0	P6C7	0.006240021287919106
53	P13E0	P6C90	0.00768570058116836
54	P13E0	P7C0	0.007315017697623462
55	P13E0	P7C7	0.0073703782050568364
56	P13E0	P7C90	0.0031975500461618
57	P13E7	P13E90	0.0010297612311870544
58	P13E7	P14E0	0.003868372188982876
59	P13E7	P14E7	0.004344159660644469
60	P13E7	P14E90	0.003880019857340684
61	P13E7	P15E0	0.00847056201064393
62	P13E7	P15E90	0.009331577513395695
63	P13E7	P19E0	0.003757003757003757
64	P13E7	P19E7	0.003974370406226514
65	P13E7	P19E90	0.002731558695680723
66	P13E7	P1E0	0.005833244139997859
67	P13E7	P1E7	0.00570221180804811
68	P13E7	P1E90	0.005491465965054307
69	P13E7	P25C0	0.008939073159256645
70	P13E7	P25C7	0.00884247944901133
71	P13E7	P25C90	0.005946403385049365
72	P13E7	P2E0	0.013047998411344866
73	P13E7	P2E7	0.013048248173478678
74	P13E7	P38C0	0.015086461110193683
75	P13E7	P38C7	0.015352555423431485
76	P13E7	P38C90	0.014251271758750836
77	P13E7	P3E0	0.010360229405079684
78	P13E7	P6C0	0.012326444576822618
79	P13E7	P6C7	0.008441994891786531
80	P13E7	P6C90	0.009571595768103179
81	P13E7	P7C0	0.009925704395332682
82	P13E7	P7C7	0.010066135560402645
83	P13E7	P7C90	0.0049392052369755
84	P13E90	P14E0	0.007668784939557552
85	P13E90	P14E7	0.008803684003152089
86	P13E90	P14E90	0.007521259842519685
87	P13E90	P15E0	0.014758805264320328
88	P13E90	P15E90	0.015887175566033727
89	P13E90	P19E0	0.008243625712202296
90	P13E90	P19E7	0.008683790663402633
91	P13E90	P19E90	0.006850915710367391
92	P13E90	P1E0	0.010061780614729935
93	P13E90	P1E7	0.010075727585017942
94	P13E90	P1E90	0.009868009116637865
95	P13E90	P25C0	0.015196267729848768
96	P13E90	P25C7	0.014970811625133388
97	P13E90	P25C90	0.011252986936429572
98	P13E90	P2E0	0.018066748423265593
99	P13E90	P2E7	0.018160179838674132
100	P13E90	P38C0	0.019844769800670313
101	P13E90	P38C7	0.02007789121633515
102	P13E90	P38C90	0.018603258265452803
103	P13E90	P3E0	0.015413896297409314
104	P13E90	P6C0	0.01792555659878482
105	P13E90	P6C7	0.01376135152960276
106	P13E90	P6C90	0.014761181325489436
107	P13E90	P7C0	0.01681260179932006
108	P13E90	P7C7	0.016908945167789596
109	P13E90	P7C90	0.0090907089872553
110	P14E0	P14E7	0.00028072745026241913
111	P14E0	P14E90	7.414822229637045e-05
112	P14E0	P15E0	0.005962534152489924
113	P14E0	P15E90	0.006512458091126173
114	P14E0	P19E0	0.0005012028869286287
115	P14E0	P19E7	0.0010300067012484178
116	P14E0	P19E90	0.00028624410399372753
117	P14E0	P1E0	0.0026501078230143677
118	P14E0	P1E7	0.002599845838286976
119	P14E0	P1E90	0.002548080616661118
120	P14E0	P25C0	0.005493089716561255
121	P14E0	P25C7	0.005252860615402858
122	P14E0	P25C90	0.0031894735603234196
123	P14E0	P2E0	0.008987123491132454
124	P14E0	P2E7	0.009000562535158447
125	P14E0	P38C0	0.01010163840613065
126	P14E0	P38C7	0.010329757647993643
127	P14E0	P38C90	0.008980955562980288
128	P14E0	P3E0	0.006637668435824787
129	P14E0	P6C0	0.007917917185174341
130	P14E0	P6C7	0.004764775108355579
131	P14E0	P6C90	0.005479951397326853
132	P14E0	P7C0	0.007035779512888715
133	P14E0	P7C7	0.006978832896397709
134	P14E0	P7C90	0.002280361915504
135	P14E7	P14E90	0.0004084967320261438
136	P14E7	P15E0	0.00597038313876048
137	P14E7	P15E90	0.0067628045748383886
138	P14E7	P19E0	0.0004466889183924162
139	P14E7	P19E7	0.0007009518187855087
140	P14E7	P19E90	0.00032568393626615895
141	P14E7	P1E0	0.0032986020210482225
142	P14E7	P1E7	0.0033718372561674327
143	P14E7	P1E90	0.00312059725861456
144	P14E7	P25C0	0.006038720274399449
145	P14E7	P25C7	0.0057096048513302034
146	P14E7	P25C90	0.003642854540818185
147	P14E7	P2E0	0.009911654207644668
148	P14E7	P2E7	0.009830387612692915
149	P14E7	P38C0	0.010671568439729892
150	P14E7	P38C7	0.010941420728833636
151	P14E7	P38C90	0.009651290499725426
152	P14E7	P3E0	0.007348185658653383
153	P14E7	P6C0	0.008971739022080446
154	P14E7	P6C7	0.005507856795723311
155	P14E7	P6C90	0.006596039853701601
156	P14E7	P7C0	0.006795708777154201
157	P14E7	P7C7	0.006799380500887697
158	P14E7	P7C90	0.0026981278556247
159	P14E90	P15E0	0.005958132045088567
160	P14E90	P15E90	0.006626391096979332
161	P14E90	P19E0	0.0008258792437487294
162	P14E90	P19E7	0.0013589178987102862
163	P14E90	P19E90	0.0005769526642391918
164	P14E90	P1E0	0.0025968463041790486
165	P14E90	P1E7	0.0026144143172874778
166	P14E90	P1E90	0.0026396239882563667
167	P14E90	P25C0	0.0056025865686008345
168	P14E90	P25C7	0.005323669082729318
169	P14E90	P25C90	0.002940118349067722
170	P14E90	P2E0	0.008871740357231912
171	P14E90	P2E7	0.008877128033996403
172	P14E90	P38C0	0.00977392927512185
173	P14E90	P38C7	0.010051356350982497
174	P14E90	P38C90	0.008730457581970072
175	P14E90	P3E0	0.00660963682230083
176	P14E90	P6C0	0.008175008555241512
177	P14E90	P6C7	0.00496159959594159
178	P14E90	P6C90	0.005783682577137141
179	P14E90	P7C0	0.007481910087634137
180	P14E90	P7C7	0.007378844749618888
181	P14E90	P7C90	0.0024591330908714
182	P15E0	P15E90	0.00013926871265066343
183	P15E0	P19E0	0.0055095981327702
184	P15E0	P19E7	0.005902653070784991
185	P15E0	P19E90	0.004383475244402397
186	P15E0	P1E0	0.008351806175653315
187	P15E0	P1E7	0.008035177628040872
188	P15E0	P1E90	0.008248799962717289
189	P15E0	P25C0	0.010267563603257295
190	P15E0	P25C7	0.010116554821131237
191	P15E0	P25C90	0.007293964626821897
192	P15E0	P2E0	0.016984631690514042
193	P15E0	P2E7	0.016923137991717057
194	P15E0	P38C0	0.018776307282251572
195	P15E0	P38C7	0.01894623117564131
196	P15E0	P38C90	0.017670408468137777
197	P15E0	P3E0	0.01335440057124626
198	P15E0	P6C0	0.015494385424482972
199	P15E0	P6C7	0.01137659842708771
200	P15E0	P6C90	0.01261463401907197
201	P15E0	P7C0	0.010968056043926321
202	P15E0	P7C7	0.010846044578969028
203	P15E0	P7C90	0.0054245887702916
204	P15E90	P19E0	0.006325910931174089
205	P15E90	P19E7	0.006892704394718899
206	P15E90	P19E90	0.0054627613377471775
207	P15E90	P1E0	0.008799354545912965
208	P15E90	P1E7	0.008657622277757944
209	P15E90	P1E90	0.008601421431979709
210	P15E90	P25C0	0.010589151310667013
211	P15E90	P25C7	0.01035329719870247
212	P15E90	P25C90	0.007635506677140613
213	P15E90	P2E0	0.017988204456094364
214	P15E90	P2E7	0.01797725860433678
215	P15E90	P38C0	0.019340308526572425
216	P15E90	P38C7	0.01952975833287873
217	P15E90	P38C90	0.018354579792256846
218	P15E90	P3E0	0.014051695447990238
219	P15E90	P6C0	0.016412447268706862
220	P15E90	P6C7	0.01229771021162624
221	P15E90	P6C90	0.013510762538437637
222	P15E90	P7C0	0.012564475598465812
223	P15E90	P7C7	0.012388260077058252
224	P15E90	P7C90	0.0064813273403251
225	P19E0	P19E7	0.0
226	P19E0	P19E90	0.0
227	P19E0	P1E0	0.002692507630993162
228	P19E0	P1E7	0.00259855070522523
229	P19E0	P1E90	0.002462856377994914
230	P19E0	P25C0	0.0055950233739463315
231	P19E0	P25C7	0.005369527929002908
232	P19E0	P25C90	0.003182317170944704
233	P19E0	P2E0	0.009238714365422295
234	P19E0	P2E7	0.009146773507852054
235	P19E0	P38C0	0.010402597402597403
236	P19E0	P38C7	0.01058866222556313
237	P19E0	P38C90	0.009253912137132555
238	P19E0	P3E0	0.0062633112879722005
239	P19E0	P6C0	0.008485796063498467
240	P19E0	P6C7	0.005300326977917793
241	P19E0	P6C90	0.0060617662072485964
242	P19E0	P7C0	0.005929032842699393
243	P19E0	P7C7	0.005869172204822652
244	P19E0	P7C90	0.0019556630598407
245	P19E7	P19E90	8.68917576961271e-05
246	P19E7	P1E0	0.003067444622834841
247	P19E7	P1E7	0.0030161561057490557
248	P19E7	P1E90	0.002793882315905454
249	P19E7	P25C0	0.006024901305800182
250	P19E7	P25C7	0.005763302506366439
251	P19E7	P25C90	0.0036029654237453744
252	P19E7	P2E0	0.009832627958419108
253	P19E7	P2E7	0.009726243079892326
254	P19E7	P38C0	0.010880036994694859
255	P19E7	P38C7	0.011050290358557565
256	P19E7	P38C90	0.009592359525533218
257	P19E7	P3E0	0.007194144880929279
258	P19E7	P6C0	0.009203780344678485
259	P19E7	P6C7	0.00590982051656209
260	P19E7	P6C90	0.00680093512858018
261	P19E7	P7C0	0.006480449789321345
262	P19E7	P7C7	0.006439590807103832
263	P19E7	P7C90	0.002370761462952
264	P19E90	P1E0	0.001985440105890139
265	P19E90	P1E7	0.002060841355102909
266	P19E90	P1E90	0.001980961497553712
267	P19E90	P25C0	0.004492626233030569
268	P19E90	P25C7	0.0044996044303797465
269	P19E90	P25C90	0.002366123970184386
270	P19E90	P2E0	0.007820262998283672
271	P19E90	P2E7	0.00773991824390994
272	P19E90	P38C0	0.009252678236822041
273	P19E90	P38C7	0.00946730297949181
274	P19E90	P38C90	0.008246181415991151
275	P19E90	P3E0	0.0050261051166028544
276	P19E90	P6C0	0.006577940951506807
277	P19E90	P6C7	0.003938968624077512
278	P19E90	P6C90	0.004515646206730342
279	P19E90	P7C0	0.004800553023708331
280	P19E90	P7C7	0.00476395611078732
281	P19E90	P7C90	0.0012276214833759
282	P1E0	P1E7	0.00014980899353324512
283	P1E0	P1E90	0.00038332289843220934
284	P1E0	P25C0	0.008318056542831131
285	P1E0	P25C7	0.008041832397804295
286	P1E0	P25C90	0.005010495801679328
287	P1E0	P2E0	0.010780234070221066
288	P1E0	P2E7	0.010759632648316305
289	P1E0	P38C0	0.012338548776646014
290	P1E0	P38C7	0.012511955140382827
291	P1E0	P38C90	0.011244544519500736
292	P1E0	P3E0	0.00795292539065776
293	P1E0	P6C0	0.009276485788113695
294	P1E0	P6C7	0.0060165189058119265
295	P1E0	P6C90	0.006907755874790529
296	P1E0	P7C0	0.010239502499564419
297	P1E0	P7C7	0.01024410930583901
298	P1E0	P7C90	0.0043592563779274
299	P1E7	P1E90	0.0004835528408729401
300	P1E7	P25C0	0.008171308790119118
301	P1E7	P25C7	0.007857241318813518
302	P1E7	P25C90	0.004965617810853961
303	P1E7	P2E0	0.010825051516811436
304	P1E7	P2E7	0.010785300615742618
305	P1E7	P38C0	0.012148531997303263
306	P1E7	P38C7	0.012282970077576652
307	P1E7	P38C90	0.01089527027027027
308	P1E7	P3E0	0.007963788103826296
309	P1E7	P6C0	0.009229289344720457
310	P1E7	P6C7	0.005877464682329833
311	P1E7	P6C90	0.006820931250160871
312	P1E7	P7C0	0.010292312465433747
313	P1E7	P7C7	0.010233488992661775
314	P1E7	P7C90	0.0044680219216543
315	P1E90	P25C0	0.008316519856306284
316	P1E90	P25C7	0.008026445797094378
317	P1E90	P25C90	0.005177131868944604
318	P1E90	P2E0	0.01030874497173826
319	P1E90	P2E7	0.010265316967583892
320	P1E90	P38C0	0.01131215829211143
321	P1E90	P38C7	0.011407634539926721
322	P1E90	P38C90	0.010269434628975265
323	P1E90	P3E0	0.007798341479488166
324	P1E90	P6C0	0.009019912603671664
325	P1E90	P6C7	0.0057812845660349535
326	P1E90	P6C90	0.006758041816176191
327	P1E90	P7C0	0.00997529298294291
328	P1E90	P7C7	0.010050185582100475
329	P1E90	P7C90	0.0041904610829103
330	P25C0	P25C7	5.1065742036297526e-05
331	P25C0	P25C90	6.112656254775512e-05
332	P25C0	P2E0	0.017268868635942517
333	P25C0	P2E7	0.017232477087904995
334	P25C0	P38C0	0.018739734209347467
335	P25C0	P38C7	0.018992058253667468
336	P25C0	P38C90	0.017754762345108192
337	P25C0	P3E0	0.013434586502533345
338	P25C0	P6C0	0.015561248695322136
339	P25C0	P6C7	0.01158171334636795
340	P25C0	P6C90	0.012697409981048641
341	P25C0	P7C0	0.012899763897832152
342	P25C0	P7C7	0.012893617021276596
343	P25C0	P7C90	0.0064850142129894
344	P25C7	P25C90	8.208832703989493e-05
345	P25C7	P2E0	0.017153632691545326
346	P25C7	P2E7	0.017095845859232076
347	P25C7	P38C0	0.01856667024820028
348	P25C7	P38C7	0.018833320820686623
349	P25C7	P38C90	0.017653968400202683
350	P25C7	P3E0	0.013308442731542816
351	P25C7	P6C0	0.015391260376722431
352	P25C7	P6C7	0.011422573474932082
353	P25C7	P6C90	0.012557978102420092
