	S1	S2	Distance
0	P10E0	P10E90	0.0016373108409823865
1	P10E0	P11E90	0.003065194949575161
2	P10E0	P12E90	0.0033180335121384724
3	P10E0	P13E0	0.0030158028067071452
4	P10E0	P13E90	0.0026595744680851063
5	P10E0	P14E90	0.002464630186980117
6	P10E0	P15E0	0.0036875225459938273
7	P10E0	P15E90	0.0023354796464040164
8	P10E0	P17E0	0.003153108300972485
9	P10E0	P17E90	0.002023767502059066
10	P10E0	P18E0	0.0017335542464408443
11	P10E0	P18E7	0.004194210166400729
12	P10E0	P18E90	0.0027141512394101034
13	P10E0	P19E0	0.003957906500279382
14	P10E0	P1E90	0.0026687153774614856
15	P10E0	P20E0	0.0025211864406779663
16	P10E0	P20E90	0.0038678524796137074
17	P10E0	P21E0	0.004099241309773715
18	P10E0	P22E0	0.0029400678477195627
19	P10E0	P22E90	0.002468471604664778
20	P10E0	P23C0	0.0019186843307446323
21	P10E0	P25C0	0.0032445737301409713
22	P10E0	P25C7	0.0020383204239706482
23	P10E0	P25C90	0.0032388663967611335
24	P10E0	P2E0	0.0028462103933802048
25	P10E0	P2E7	0.00436557661991188
26	P10E0	P2E90	0.0055077253094471985
27	P10E0	P38C0	0.006499552372426142
28	P10E0	P38C7	0.005334530758868433
29	P10E0	P38C90	0.004905947477503476
30	P10E0	P3E0	0.0028587602604019245
31	P10E0	P3E7	0.0023930497511575077
32	P10E0	P3E90	0.0029197756870741995
33	P10E0	P4E90	0.003180672339993571
34	P10E0	P5E0	0.0038101592541218195
35	P10E0	P6C0	0.0038497820156540804
36	P10E0	P6C7	0.0033613445378151263
37	P10E0	P6C90	0.003282731788654601
38	P10E0	P8C0	0.002943285159050602
39	P10E0	P8C7	0.0026824498554938302
40	P10E0	P9E0	0.002655394786755541
41	P10E0	P9E90	0.0028266228430566
42	P10E90	P11E90	0.002759616201069882
43	P10E90	P12E90	0.0032030283176821724
44	P10E90	P13E0	0.0025437054851540097
45	P10E90	P13E90	0.002314024505898866
46	P10E90	P14E90	0.0022766919960970993
47	P10E90	P15E0	0.0033119992838920465
48	P10E90	P15E90	0.0021832358674463937
49	P10E90	P17E0	0.0032239269761118665
50	P10E90	P17E90	0.002199086961362877
51	P10E90	P18E0	0.0016309928920927048
52	P10E90	P18E7	0.003895993901922588
53	P10E90	P18E90	0.0025080466496676837
54	P10E90	P19E0	0.0032867177933878972
55	P10E90	P1E90	0.0027147785758724055
56	P10E90	P20E0	0.0025070984111641393
57	P10E90	P20E90	0.003776458047814832
58	P10E90	P21E0	0.0037066344592061973
59	P10E90	P22E0	0.003168376584188292
60	P10E90	P22E90	0.002134493834835768
61	P10E90	P23C0	0.001889817890276028
62	P10E90	P25C0	0.0026412325752017607
63	P10E90	P25C7	0.0017006802721088435
64	P10E90	P25C90	0.002931826209819852
65	P10E90	P2E0	0.0026754013101965295
66	P10E90	P2E7	0.003958298489156492
67	P10E90	P2E90	0.006335003579098067
68	P10E90	P38C0	0.006158840270366417
69	P10E90	P38C7	0.0054443194600674915
70	P10E90	P38C90	0.005014348285757439
71	P10E90	P3E0	0.0025481416766772232
72	P10E90	P3E7	0.00228310502283105
73	P10E90	P3E90	0.003759791122715405
74	P10E90	P4E90	0.003086552064131693
75	P10E90	P5E0	0.0036919459141681365
76	P10E90	P6C0	0.003144763967993291
77	P10E90	P6C7	0.0027042003768148067
78	P10E90	P6C90	0.0031002179138678587
79	P10E90	P8C0	0.0025791161299316885
80	P10E90	P8C7	0.0016827189195173253
