	S1	S2	Distance
0	P10E0	P10E7	0.0
1	P10E0	P10E90	0.0
2	P10E0	P11E0	0.000825680556168338
3	P10E0	P11E90	0.0008998578224640506
4	P10E0	P13E0	0.0014099173940514357
5	P10E0	P13E7	0.0014098844011793887
6	P10E0	P13E90	0.0014098844011793887
7	P10E0	P14E0	0.0019253502498858834
8	P10E0	P14E7	0.0019662461084712438
9	P10E0	P14E90	0.001931541487169882
10	P10E0	P15E0	8.301757007572389e-05
11	P10E0	P15E7	0.00040899795501022495
12	P10E0	P15E90	1.1700833099316671e-05
13	P10E0	P17E0	0.00023986146537804506
14	P10E0	P17E7	0.00024009744442622568
15	P10E0	P17E90	0.00023985725568198438
16	P10E0	P18E0	0.0014215930031883464
17	P10E0	P18E7	0.0014215846866663547
18	P10E0	P18E90	0.0014215846866663547
19	P10E0	P19E0	0.0017959938222492629
20	P10E0	P19E7	0.0017669291707134416
21	P10E0	P19E90	0.0017959938222492629
22	P10E0	P1E0	0.0011237184866284796
23	P10E0	P1E7	0.0007428085351096841
24	P10E0	P1E90	0.0007416504986857953
25	P10E0	P22E0	0.002040162847079274
26	P10E0	P22E90	0.0017552790015973039
27	P10E0	P2E0	0.001901830438649876
28	P10E0	P2E7	0.0018439600065563023
29	P10E0	P2E90	0.0019077045515723933
30	P10E0	P38C0	0.0018427949641971265
31	P10E0	P38C7	0.0018428380876605902
32	P10E0	P38C90	0.001842859650149184
33	P10E0	P3E0	1.7550428230448822e-05
34	P10E0	P3E7	1.755073625338583e-05
35	P10E0	P3E90	1.7550428230448822e-05
36	P10E0	P5E90	0.0019423723855492175
37	P10E0	P6C0	0.0017550633577872162
38	P10E0	P6C7	0.0017550428230448823
39	P10E0	P6C90	0.001755094160801727
40	P10E0	P7C0	0.0020031511559119317
41	P10E0	P7C7	0.001731767015974528
42	P10E0	P7C90	0.00206025062480612
43	P10E0	P9E0	0.00015210727072754077
44	P10E0	P9E7	0.0001521046011641852
45	P10E0	P9E90	0.0001521037113305
46	P10E7	P10E90	2.926972047416947e-05
47	P10E7	P11E0	0.003311299889413894
48	P10E7	P11E90	0.003247996171790884
49	P10E7	P13E0	0.003077066529908154
50	P10E7	P13E7	0.0030769948017436302
51	P10E7	P13E90	0.0030769948017436302
52	P10E7	P14E0	0.004570522462019192
53	P10E7	P14E7	0.004628550109592874
54	P10E7	P14E90	0.0045945378641229564
