	S1	S2	Distance
0	P10E0	P10E7	3.0489664003902676e-05
1	P10E0	P10E90	8.894884700057076e-05
2	P10E0	P11E0	0.002495586164768283
3	P10E0	P11E90	0.0024367161710023323
4	P10E0	P13E0	0.004678132380548658
5	P10E0	P13E7	0.004554706401935558
6	P10E0	P13E90	0.005149017713867294
7	P10E0	P14E0	0.003598429453942762
8	P10E0	P14E7	0.002952755905511811
9	P10E0	P14E90	0.003022209727298285
10	P10E0	P15E0	0.005471739409354033
11	P10E0	P15E7	0.005553589186091588
12	P10E0	P15E90	0.005493595821856986
13	P10E0	P17E0	0.003159228075404217
14	P10E0	P17E7	0.004385200971301523
15	P10E0	P17E90	0.0032746101565368562
16	P10E0	P18E0	0.041253168035665214
17	P10E0	P18E90	0.0412229202601554
18	P10E0	P19E0	0.003867096729441959
19	P10E0	P19E7	0.003983195621099606
20	P10E0	P19E90	0.003565000087377453
21	P10E0	P1E0	0.005072303379076287
22	P10E0	P1E7	0.005248717642848622
23	P10E0	P1E90	0.0038596427796659194
24	P10E0	P21E0	0.005963751222080168
25	P10E0	P21E7	0.0059833703049783455
26	P10E0	P21E90	0.006013324379993813
27	P10E0	P22E0	0.00607320881628731
28	P10E0	P22E7	0.0060798767408839615
29	P10E0	P22E90	0.006197774197174655
30	P10E0	P23C0	0.0033163558380883084
31	P10E0	P23C7	0.0034089168071089323
32	P10E0	P23C90	0.0036863627380934283
33	P10E0	P25C0	0.005904092302145304
34	P10E0	P25C7	0.005873737184061291
35	P10E0	P25C90	0.005960781958499745
36	P10E0	P2E0	0.005743351612262667
37	P10E0	P2E7	0.0057430776770399415
38	P10E0	P2E90	0.005668899403920605
39	P10E0	P38C0	0.005896865033997232
40	P10E0	P38C7	0.0058367950961906835
41	P10E0	P38C90	0.005898207392917671
42	P10E0	P3E0	0.040056346167738205
43	P10E0	P3E7	0.03991524733110586
44	P10E0	P3E90	0.041584258836655
45	P10E0	P6C0	0.007495805171791937
46	P10E0	P6C7	0.007528556593977154
47	P10E0	P6C90	0.0075058823529411765
48	P10E0	P7C0	0.0037255703946081483
49	P10E0	P7C7	0.005197895791583166
50	P10E0	P7C90	0.0037698827248530656
51	P10E0	P8C0	0.00642837225776793
52	P10E0	P8C7	0.006567636857185945
53	P10E0	P8C90	0.006623215160305919
54	P10E0	P9E0	0.005066875302708543
55	P10E0	P9E7	0.004792633684289973
56	P10E0	P9E90	0.0052786753428533
57	P10E7	P10E90	6.097328607903662e-05
58	P10E7	P11E0	0.0024432087986152595
59	P10E7	P11E90	0.0023977692319477853
60	P10E7	P13E0	0.004586727303876524
61	P10E7	P13E7	0.004487564390228487
62	P10E7	P13E90	0.005058914444594928
63	P10E7	P14E0	0.0034821663984580275
64	P10E7	P14E7	0.002838528290665297
65	P10E7	P14E90	0.0028922306216043322
66	P10E7	P15E0	0.005357364053016227
67	P10E7	P15E7	0.005439316001668288
68	P10E7	P15E90	0.005371309159862234
69	P10E7	P17E0	0.003140775694992378
70	P10E7	P17E7	0.00434649266595459
71	P10E7	P17E90	0.0032242253434833887
72	P10E7	P18E0	0.04001576665352779
73	P10E7	P18E90	0.03997119193374145
74	P10E7	P19E0	0.003859344359178703
75	P10E7	P19E7	0.003969611320143302
76	P10E7	P19E90	0.003530592494354636
77	P10E7	P1E0	0.00492342922570488
78	P10E7	P1E7	0.0051154050565636626
79	P10E7	P1E90	0.0036825408604344843
80	P10E7	P21E0	0.005878894767783657
81	P10E7	P21E7	0.005898743412423064
82	P10E7	P21E90	0.005929559318876798
83	P10E7	P22E0	0.005969095735702558
84	P10E7	P22E7	0.005959687193620356
85	P10E7	P22E90	0.006097654394754179
86	P10E7	P23C0	0.003203195363590085
87	P10E7	P23C7	0.0032977965079389947
