uniref	P10E0	P10E7	P10E90	P11E0	P11E7	P11E90	P12E0	P12E7	P12E90	P13E0	P13E7	P13E90	P14E0	P14E7	P14E90	P15E0	P15E7	P15E90	P17E0	P17E7	P17E90	P18E0	P18E7	P18E90	P19E0	P19E7	P19E90	P1E0	P1E7	P1E90	P20E0	P20E7	P20E90	P21E0	P21E7	P21E90	P22E0	P22E7	P22E90	P23C0	P23C7	P23C90	P25C0	P25C7	P25C90	P2E0	P2E7	P2E90	P38C0	P38C7	P38C90	P3E0	P3E7	P3E90	P4E0	P4E7	P4E90	P5E0	P5E7	P5E90	P6C0	P6C7	P6C90	P7C0	P7C7	P7C90	P8C0	P8C7	P8C90	P9E0	P9E7	P9E90
GT2|g__Lactococcus.s__Lactococcus_lactis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28329e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.62025e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GT2|g__Methanobrevibacter.s__Methanobrevibacter_smithii	0.0	0.0	1.089267e-07	0.0	0.0	0.0	0.0	0.0	0.0	3.26699e-07	4.7742e-07	4.9273399999999996e-08	6.01973e-08	4.01512e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.041001e-06	1.621344e-07	0.0	0.0	6.19976e-08	1.512444e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.44025e-08	1.360932e-07	3.97022e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GT2|g__Methanobrevibacter.s__Methanobrevibacter_smithii_CAG_186	0.0	0.0	2.024027e-07	0.0	0.0	0.0	0.0	0.0	0.0	8.05704e-07	6.38484e-07	1.36512e-07	1.147234e-07	9.47463e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3683300000000002e-06	5.86466e-07	0.0	0.0	3.82626e-08	1.39058e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0549e-08	1.4483530000000002e-07	1.47016e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GT2|g__Parabacteroides.s__Parabacteroides_distasonis	7.7798156e-06	6.005834500000001e-06	7.7330234e-06	4.570695e-06	1.6096615999999998e-05	1.5774840000000001e-06	0.0	0.0	0.0	8.11835e-06	3.745581e-05	1.565478e-05	1.01388e-06	1.8244e-06	1.60861e-06	6.955733e-06	3.275019e-05	1.725949e-05	6.67997e-06	9.529410000000001e-06	8.43082e-06	2.4176629999999998e-06	3.975285e-06	3.0722580000000003e-06	8.895128e-07	2.915051e-06	1.176144e-06	1.82997e-06	2.07277e-06	1.6792e-07	0.0	0.0	0.0	6.736134e-07	3.81975524e-06	2.60232e-06	9.34924e-07	5.52388e-06	4.72484e-06	9.04708e-07	9.27997e-07	8.55536e-07	8.423867999999998e-06	9.981611e-06	9.273448e-06	5.09455e-06	4.6969200000000004e-06	4.737202e-06	3.028159e-05	1.4566869999999999e-05	3.992922e-05	2.2065379999999997e-06	7.5938899999999996e-06	2.151941e-06	0.0	0.0	0.0	3.257752e-05	4.21846e-05	1.886984e-05	4.266445e-06	7.0371899999999994e-06	4.5721199999999995e-06	0.0	0.0	0.0	2.9237958000000003e-06	2.7537949e-06	1.9503899e-06	5.05961e-07	4.59463e-06	8.43637e-07
GT2|g__Parabacteroides.s__Parabacteroides_goldsteinii	2.00003e-08	3.50608e-08	8.96603e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.45376e-08	1.72869e-07	7.2743e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61907e-07	2.17537e-07	6.49804e-08	2.73054e-08	1.15982e-07	1.98962e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43199e-07	5.43542e-08	3.05889e-07	0.0	0.0	0.0	0.0	0.0	0.0	1.48461e-07	2.07456e-07	5.27021e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39391e-08	1.38081e-07	6.15579e-08	0.0	0.0	0.0	0.0	0.0	0.0
GT2|g__Parabacteroides.s__Parabacteroides_johnsonii	0.0	4.183202e-06	8.536799000000001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.78501e-08	0.0	1.400939e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1866815000000003e-05	0.0001951846	2.6636429999999997e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.190129e-05	4.0865537000000005e-05	2.8170130000000005e-06	0.0	0.0	0.0	1.03182e-06	1.5051613000000002e-05	1.0262648e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5422211e-05	1.2864075000000001e-05	3.1126006999999996e-06	0.0	0.0	0.0	0.0	0.0	0.0
GT2|g__Parabacteroides.s__Parabacteroides_merdae	1.2468318e-05	2.352882e-05	1.711685e-05	9.239961999999999e-06	5.4165788e-05	5.369614e-06	5.1974299999999995e-05	0.00014959750000000002	6.794099999999999e-05	6.81358e-06	2.459224e-05	1.379223e-05	4.826181e-06	3.942743e-06	5.926868e-06	1.274761e-05	2.687318e-05	1.402693e-05	1.301088e-05	1.555237e-05	1.113979e-05	1.4349359999999999e-05	1.352528e-05	1.141482e-05	1.8661179999999999e-06	2.47609e-06	2.753988e-06	3.82928e-06	2.65574e-06	1.801948e-06	7.755155000000001e-05	0.0001015972	5.1245630000000005e-05	1.2548939999999999e-05	1.262956e-05	1.914558e-05	0.0	0.0	0.0	2.000565e-05	1.148987e-05	2.0224350000000002e-05	9.82322e-06	1.013396e-05	8.31978e-06	7.32296e-06	5.934292e-06	1.047998e-05	2.92911e-05	2.0799099e-05	3.6001878e-05	1.044927e-05	9.743233e-06	1.083487e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.756379999999999e-06	1.061554e-05	5.8528900000000005e-06	1.941974e-05	1.058092e-05	1.51111e-05	0.0	0.0	0.0	1.401562e-05	1.628601e-05	6.49474e-06
GT2|g__Parasutterella.s__Parasutterella_excrementihominis	1.21468e-06	3.65357e-07	3.06573e-07	3.58485e-07	8.22103e-07	0.0	0.0	0.0	0.0	1.5028e-06	1.17406e-06	2.64308e-06	0.0	3.08575e-07	5.81442e-08	1.46259e-06	7.30576e-07	1.64747e-07	1.00973e-07	2.18505e-06	2.66265e-07	0.0	0.0	0.0	0.0	1.91858e-07	0.0	3.77905e-07	3.24813e-07	2.85083e-07	6.81118e-07	1.5145e-06	1.8265e-06	2.75957e-07	7.31071e-07	5.88645e-08	1.17601e-06	5.08026e-06	1.43386e-06	1.56498e-07	0.0	1.72682e-07	0.0	0.0	0.0	3.35395e-07	2.37461e-07	1.72073e-07	1.69974e-06	6.97618e-07	9.39237e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.70452e-09	0.0	4.35359e-09	2.57256e-07	2.08477e-07	1.34292e-07	3.03794e-06	2.20018e-06	2.11474e-06	2.09976e-07	1.6394e-06	1.75246e-07
GT2|g__Prevotella.s__Prevotella_copri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92811e-05	1.31343e-05	1.44499e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22945e-06	4.44657e-06	3.83328e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.84979e-05	5.28158e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GT2|g__Prevotella.s__Prevotella_copri_CAG_164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49743e-05	1.62419e-05	1.77912e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.22332e-06	3.90536e-06	3.3166e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.25623e-05	4.47666e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
